ID    A_wt_tpm    A_ko_tpm    R_wt_tpm    R_ko_tpm    p.value    log2FC_A_ko_vs_wt    log2FC_R_ko_vs_wt
1110032A03Rik    1110032A03Rik    31.3    61.26    2.088152838    1.956103511    0.724839    0.968760168189522    -0.094197978809226
1110032F04Rik    1110032F04Rik    8.25    17.87    0.203012784    0.103823907    0.697594    1.11497947891547    -0.960691770987207
1110036E04Rik    1110036E04Rik    23.2    44.53    0.196659719    0.083740104    0.709395    0.940623020545027    -1.22190209033038
1110038B12Rik    1110038B12Rik    21.43    54.15    125.0905669    159.8654143    0.371772    1.33728881043102    0.353882347684555
1110038F14Rik    1110038F14Rik    16.29    24.71    15.11473483    18.34447997    0.145876    0.601078230177058    0.279373534848283
1110046J04Rik    1110046J04Rik    22.5    31.35    8.335369848    6.296867851    0.0645264    0.47852234147688    -0.404555799530016
1110051M20Rik    1110051M20Rik    7.9    15.82    7.192539461    6.617720804    0.240788    1.00173362483479    -0.12014938415584
1110058D11Rik    1110058D11Rik    2.08    0.69    0.101722115    0.245313874    0.257391    -1.59051934934708    1.26175107980649
1110059E24Rik    1110059E24Rik    92.71    151.28    10.30696422    9.735977004    0.834338    0.706418377563419    -0.0822135947618903
1110059G10Rik    1110059G10Rik    17.47    27.93    5.12080783    5.687026117    0.51585    0.67690503947518    0.151274965117773
1110065P20Rik    1110065P20Rik    52.47    98.35    11.25968971    8.56435983    0.00307115    0.90641943608192    -0.394709434082876
1190005I06Rik    1190005I06Rik    9.07    16.51    0.041413636    0.239381772    0.429297    0.864093991312268    2.50272743005249
1190007I07Rik    1190007I07Rik    18.42    24.61    3.020816235    2.156713286    0.191327    0.417951897405083    -0.485912754684978
1190028D05Rik    1190028D05Rik    2.16    0.78    1.107117446    1.162512397    0.804979    -1.46830461871753    0.0703757861092529
1300002E11Rik    1300002E11Rik    24.87    44.93    2.218957964    2.1762292    0.832622    0.853246655503082    -0.02803906862123
1300017J02Rik    1300017J02Rik    2.16    1.95    0.267465944    0.173616328    0.864285    -0.147485294250481    -0.620550619459364
1500004A13Rik    1500004A13Rik    2.83    7.42    1.436382255    1.200693359    0.356252    1.39030185779554    -0.258374976065754
1500009C09Rik    1500009C09Rik    3.08    1.27    0.306259427    0.199614313    0.543998    -1.27743465203439    -0.615032734543639
1500009L16Rik    1500009L16Rik    10.85    11.23    1.246907108    1.070708528    0.585077    0.0496583861381681    -0.219597956390419
1500011B03Rik    1500011B03Rik    12.5    13.57    1.7750392    2.219238189    0.508059    0.118483526001596    0.322051033796779
1500012K07Rik    1500012K07Rik    8.35    7.23    1.043910831    0.681614075    0.262963    -0.207753788830168    -0.614237765892923
1500015A07Rik    1500015A07Rik    26.15    50.49    2.591036115    3.188321714    0.179581    0.94916013558307    0.299163813277379
1500015L24Rik    1500015L24Rik    3.85    3.52    0.151685789    0.094925682    0.897594    -0.129247895933854    -0.670576769650013
1500026H17Rik    1500026H17Rik    32.73    56.26    3.251985861    2.529298899    0.530033    0.781477515393164    -0.362456734182953
1600002D24Rik    1600002D24Rik    2.77    1.32    0.213598782    0.14204302    0.358303    -1.06877624423459    -0.585192786904824
1600002K03Rik    1600002K03Rik    25.26    45.02    7.732773214    9.619525531    0.248061    0.833686350270551    0.314943245537057
1600010M07Rik    1600010M07Rik    2.54    5.37    2.175144982    1.731587964    0.742935    1.07979434610218    -0.328846076648234
1600012H06Rik    1600012H06Rik    53.14    84.77    18.40406098    17.86631359    0.920299    0.673745429403606    -0.0427797930058391
1600014C10Rik    1600014C10Rik    20.32    48.78    1.118221504    0.928166545    0.535242    1.26334793424023    -0.268486471490642
1600014C23Rik    1600014C23Rik    4.58    10.16    0.19501128    0.122894619    0.542583    1.14930792469731    -0.661823150918682
1600019K03Rik    1600019K03Rik    2.37    2.15    0.211539584    0.026691619    0.380914    -0.140488138058947    -2.94021024911725
1600020E01Rik    1600020E01Rik    39.59    72.71    29.53275807    30.09207772    0.850284    0.877001129312704    0.0270667173011736
1600023N17Rik    1600023N17Rik    58.81    114.46    0.45182112    0.26869649    0.23126    0.960698189442569    -0.747604502829625
1600025M17Rik    1600025M17Rik    2.18    3.42    0.0614897    0.091942861    0.944979    0.649428334127149    0.57272564104214
1600027J07Rik    1600027J07Rik    3.24    3.32    0    0.076811506    0.118569    0.0351787021848677    6.28191159742253
1600029I14Rik    1600029I14Rik    5.48    5.86    0.203884744    0.484433442    0.152421    0.0967077026500518    1.24446093734058
1600029O15Rik    1600029O15Rik    6.77    16.11    1.922994119    1.656304144    0.136912    1.25060521966644    -0.215266002912572
1700001C02Rik    1700001C02Rik    5.77    8.1    0.237168894    0.12428097    0.328676    0.489278676493433    -0.926817714622382
1700001C19Rik    1700001C19Rik    2.6    2.57    0.311244382    0.117925255    0.0618014    -0.0167367891093353    -1.39262049590372
1700001D01Rik    1700001D01Rik    8.54    11.52    0.119061442    0.094873814    0.932291    0.431789046375588    -0.32456416960977
1700001F09Rik    1700001F09Rik    0.1    0    0.732479402    0.001348336    0.0370633    -6.65821148275179    -8.28697379755605
1700001G01Rik    1700001G01Rik    3.34    0.78    0.116835841    0.099206812    0.925789    -2.09688552919299    -0.233797831234442
1700001G11Rik    1700001G11Rik    28.68    52.44    0.50901899    0.138526813    0.143259    0.870599870307205    -1.87000857248675
1700001G17Rik    1700001G17Rik    19.71    31.84    0.396285546    0.363516297    0.492057    0.691884675323871    -0.124192989588075
1700001J03Rik    1700001J03Rik    1.24    0.88    0.785514508    0.47753246    0.280995    -0.494289191209943    -0.716856588271791
1700001J11Rik    1700001J11Rik    0.87    0.19    0.308243525    0.102724608    0.262512    -2.18910008056312    -1.57598518316186
1700001K19Rik    1700001K19Rik    5.03    9.77    1.555484151    1.58257634    0.80347    0.957661030831557    0.0248955309832962
1700001K23Rik    1700001K23Rik    1.79    2.73    0.307646899    0.024789144    0.0582294    0.608663976779325    -3.58112150383757
1700001L05Rik    1700001L05Rik    13.9    24.81    2.485947525    1.773847987    0.102795    0.835791213572523    -0.486680601476885
1700001L19Rik    1700001L19Rik    1.69    1.85    0.462463468    0.324029995    0.503649    0.130428235460591    -0.51188276282502
1700001O22Rik    1700001O22Rik    4.07    5.21    0.414710619    0.306440809    0.957424    0.356177033291539    -0.435270923113044
1700001P01Rik    1700001P01Rik    4.74    7.81    0.915584425    1.450220294    0.334477    0.720315867554769    0.662926859768775
1700003C15Rik    1700003C15Rik    0    0    0.233663428    0.225918916    0.527883    0    -0.0484161398423222
1700003D09Rik    1700003D09Rik    17.24    21.78    0.200753047    0.176356015    0.979442    0.337226736968833    -0.185942202278193
1700003E16Rik    1700003E16Rik    18.08    30.67    0.584535345    0.273048441    0.18143    0.762400734502473    -1.09532533202678
1700003E24Rik    1700003E24Rik    1    0.49    1.32e-25    1.04e-06    0.361303    -1.0276470445213    0.00149962317357044
1700003F12Rik    1700003F12Rik    15.26    19.34    1.195459768    0.734304596    0.206649    0.341812889286311    -0.702357978226734
1700003G18Rik    1700003G18Rik    73.93    143.76    0.120984297    0.15362505    0.764621    0.959421016710374    0.342078619651559
1700003H04Rik    1700003H04Rik    1.45    1.17    0.153559528    0.015722579    0.358454    -0.309306443565529    -3.20829332763002
1700003I22Rik    1700003I22Rik    2.47    1.56    0.138362754    0.10565923    0.584028    -0.662624473350876    -0.385836220982345
1700003L19Rik    1700003L19Rik    2.23    1.07    0.090950048    0.133982169    0.896869    -1.05873203349388    0.553846608522976
1700003M07Rik    1700003M07Rik    11.12    19.53    2.286791865    1.315357504    0.410263    0.812479297056515    -0.797404449158954
1700003P14Rik    1700003P14Rik    1.57    0.39    0.166225613    0.123355615    0.535702    -2.00644266798684    -0.427324183073732
1700006A11Rik    1700006A11Rik    1.4    0.59    0.100695471    0.031964747    0.203395    -1.24522692025329    -1.62525951628862
1700006F04Rik    1700006F04Rik    2.31    0.59    0.194839171    0.334418306    0.17059    -1.9672872242901    0.77629207234723
1700006H21Rik    1700006H21Rik    2.35    2.15    0.107219729    0.21597652    0.884215    -0.128267014229961    1.00357539693942
1700007F19Rik    1700007F19Rik    13.96    27.74    0.097136548    0.079564032    0.486908    0.990617511712893    -0.284654636887594
1700007J10Rik    1700007J10Rik    3.44    4.69    5.356574171    4.041807688    0.179608    0.447067608759    -0.40622234011512
1700007K13Rik    1700007K13Rik    5.3    5.27    0.37867007    0.334639837    0.505601    -0.00818784854324095    -0.177832314459472
1700007L15Rik    1700007L15Rik    32.37    41.6    0.890616345    0.770815414    0.768526    0.361916274367915    -0.208167207777684
1700007P06Rik    1700007P06Rik    1.94    0.39    4.959263509    3.866290821    0.638416    -2.31155960540631    -0.359093504928397
1700008C04Rik    1700008C04Rik    2.99    0.78    3.707588494    1.979963427    0.299424    -1.93723345697737    -0.90466794977546
1700008J07Rik    1700008J07Rik    54.98    67.98    1.398121812    1.008082744    0.290572    0.306198437095795    -0.471477094429045
1700008K24Rik    1700008K24Rik    2.64    0.29    0.26668488    0.109040888    0.807725    -3.18199324325881    -1.28249596465334
1700008O03Rik    1700008O03Rik    9.32    21.78    0.31299523    0.234681206    0.469958    1.2245135446824    -0.413905924956847
1700008P02Rik    1700008P02Rik    2.39    0.29    0.153640845    0.096943304    0.173318    -3.03852307180334    -0.658902656396102
1700009C05Rik    1700009C05Rik    2.1    0.78    0.139521154    0.104848309    0.468352    -1.42768170853107    -0.408789108069072
1700009J07Rik    1700009J07Rik    2.43    1.95    0.202714421    0.156156351    0.861735    -0.317336115419703    -0.374347537214151
1700009N14Rik    1700009N14Rik    2.47    1.37    0.159912085    0.061646524    0.832708    -0.849866439549559    -1.3609663134131
1700010B08Rik    1700010B08Rik    2.83    0.98    0.056750325    0.119095069    0.29317    -1.52898670768651    1.05627594576347
1700010D01Rik    1700010D01Rik    0.8    0.1    0.043536832    0    0.373901    -2.98744694965692    -5.4769270346826
1700010I02Rik    1700010I02Rik    2.02    1.27    39.86221165    30.11786864    0.304823    -0.669105291374777    -0.404390369294317
1700010I14Rik    1700010I14Rik    6.25    8.89    0.236480049    0.252427624    0.618668    0.508258690318454    0.0937674731287323
1700010J16Rik    1700010J16Rik    1.38    1.27    0.038572564    0.052113053    0.967765    -0.119749289253092    0.424565915639199
1700010K23Rik    1700010K23Rik    1.2    0.59    1.03e-20    5.78e-21    1    -1.0230061155281    0
1700010N08Rik    1700010N08Rik    0.21    0    0.394321931    0.388970645    0.692463    -7.72109918870719    -0.0196624634257345
1700011B04Rik    1700011B04Rik    1.83    0.88    0.417925059    0.289654596    0.681609    -1.05541786687692    -0.527386463539378
1700011C11Rik    1700011C11Rik    4.62    11.91    0.094253039    0.035074026    0.89978    1.36601754658475    -1.40080467937102
1700011L22Rik    1700011L22Rik    4.43    6.35    0.122442182    0.106882643    0.667025    0.5193514432428    -0.194372697265546
1700011M02Rik    1700011M02Rik    0.51    0.59    0    0.409407227    2.95e-07    0.209834839239911    8.68091232584947
1700012A03Rik    1700012A03Rik    2.06    0.19    0.306906901    0.160891141    0.289886    -3.43169996150351    -0.927470161614111
1700012B07Rik    1700012B07Rik    1.38    1.76    0.24005226    0.171495379    0.893778    0.350681589573158    -0.482788241998978
1700012B09Rik    1700012B09Rik    3.3    2.05    0.074075589    0.022493538    0.466066    -0.686575646742684    -1.67607989658823
1700012C14Rik    1700012C14Rik    7.55    11.13    0.193215596    0.076698091    0.15004    0.559843586720382    -1.32170799949755
1700012D01Rik    1700012D01Rik    65.16    114.66    1.653333755    1.158617774    0.342676    0.815294116854582    -0.512600970098715
1700012D14Rik    1700012D14Rik    73.99    155.19    0.545730857    0.679367177    0.507311    1.06862319138703    0.315482740393518
1700012D16Rik    1700012D16Rik    2.56    1.07    0.028545692    0.163170341    0.414882    -1.25774877284721    2.47417381920519
1700012H19Rik    1700012H19Rik    6.1    4.3    0.126717912    0.12417958    0.621273    -0.504373599392981    -0.0289616313703216
1700012I11Rik    1700012I11Rik    6.77    16.89    0.081209414    0.038726738    0.777036    1.31881391836036    -1.04919327264974
1700012P22Rik    1700012P22Rik    2.47    0.29    0.155419002    0.16991185    0.530011    -3.0860039524205    0.127836644370284
1700013F07Rik    1700013F07Rik    11.86    23.34    0.232427379    0.138080592    0.354355    0.976640723328119    -0.747052673483497
1700013G24Rik    1700013G24Rik    8.27    7.03    0.475106625    0.375590954    0.699585    -0.234331873587846    -0.338286358323082
1700013H16Rik    1700013H16Rik    0.95    0.49    0.040982604    0.048166767    0.994371    -0.95372231654587    0.227891839152303
1700015F17Rik    1700015F17Rik    2.49    2.83    0.230425959    0.170015789    0.335848    0.18458672766491    -0.436421172510423
1700015G11Rik    1700015G11Rik    3.18    1.47    0    0    1    -1.11268312528468    0
1700016A09Rik    1700016A09Rik    24.54    54.3    0.253368468    0.089865932    0.774038    1.14578472942245    -1.48510844544768
1700016C15Rik    1700016C15Rik    3.24    2.93    0.30529749    0.216579055    0.533975    -0.145046052628299    -0.493393860730956
1700016D06Rik    1700016D06Rik    2.02    0.39    0.315975095    0.078594962    0.0565286    -2.36982880907238    -1.99362046833367
1700016G22Rik    1700016G22Rik    2.99    3.13    0.611889927    0.365688197    0.355413    0.0659955980193176    -0.741074164761183
1700016H13Rik    1700016H13Rik    13.63    24.07    0.401121829    0.120472045    0.247878    0.820404672751055    -1.72700831726716
1700016K05Rik    1700016K05Rik    2.64    0.19    0.392187123    0.218190402    0.133524    -3.78943975813134    -0.843031447388719
1700016K19Rik    1700016K19Rik    6.29    7.32    0.349768135    0.101890148    0.861579    0.218751362378946    -1.76941284725656
1700016L04Rik    1700016L04Rik    34.29    54.01    0.166008056    0.184143223    0.496868    0.655423282664598    0.148724045992222
1700016L21Rik    1700016L21Rik    2.87    2.25    0.172204909    0.039106826    0.45325    -0.350987273753026    -2.11056011688039
1700016P04Rik    1700016P04Rik    1.18    0.49    0.07840288    0.100030878    0.970015    -1.26621403508246    0.347533049271982
1700017B05Rik    1700017B05Rik    40.19    51.47    11.35197047    9.886351033    0.362812    0.356887338280165    -0.199413865042575
1700017D01Rik    1700017D01Rik    1.69    0.69    0.184937637    0.217445104    0.528413    -1.29111904402172    0.232451944792389
1700017G19Rik    1700017G19Rik    9.82    12.21    0.127762307    0.062697706    0.440456    0.314239516201005    -1.01539700902446
1700017J07Rik    1700017J07Rik    2.49    0.59    0.216233919    0.143521754    0.545985    -2.0754949860633    -0.587962714396201
1700017L05Rik    1700017L05Rik    15.59    27.35    0.567057944    0.104532215    0.678115    0.810880116575548    -2.42835463095725
1700017N19Rik    1700017N19Rik    1.69    1.47    0.090074114    0.029007789    0.722187    -0.201079413155153    -1.60170403118123
1700018A04Rik    1700018A04Rik    2.21    1.66    0.16528212    0.021580003    0.380002    -0.41264695185385    -2.88051546381074
1700018B08Rik    1700018B08Rik    1.75    1.95    0.338942265    0.245708329    0.571955    0.156034694175469    -0.462483320626554
1700018B24Rik    1700018B24Rik    1.79    1.56    0.134996687    0.067402659    0.831675    -0.198294800008052    -0.99144719372318
1700018F24Rik    1700018F24Rik    1.3    1.27    0.10025807    0.101775166    0.638117    -0.0336569317128365    0.0214548105573074
1700018G05Rik    1700018G05Rik    1.03    0.39    0.21292135    0.038616788    0.441844    -1.39880382006076    -2.43289665396079
1700018L02Rik    1700018L02Rik    36.79    45.71    0.56897978    0.287775456    0.857888    0.313188490406056    -0.980962612743133
1700019A02Rik    1700019A02Rik    2.8    1.47    0.334451832    0.033593315    0.0606146    -0.929144736819676    -3.27754044700182
1700019C18Rik    1700019C18Rik    3.36    3.03    0.083448364    0.096590934    0.586705    -0.149096690523673    0.208677656290837
1700019D03Rik    1700019D03Rik    12.74    11.91    0.798410989    0.478236691    0.101955    -0.0971839733172719    -0.738199037704895
1700019E08Rik    1700019E08Rik    1.65    0.29    0.184020841    0.024264664    0.391773    -2.50424906200497    -2.87249488853693
1700019G24Rik    1700019G24Rik    6.97    7.13    0.033217304    0    0.373901    0.0327387763787379    -5.09665418846529
1700019M22Rik    1700019M22Rik    2.41    0.69    0.15887413    0.097933773    0.405942    -1.80287403521427    -0.692401505636658
1700019N19Rik    1700019N19Rik    12.19    16.21    0.215379283    0.534879134    0.628685    0.411156616616693    1.30834526514619
1700019P21Rik    1700019P21Rik    4.02    6.25    0.120936098    0.062106705    0.936943    0.636532666378467    -0.950260082259514
1700020A23Rik    1700020A23Rik    1.52    2.05    0.517682539    0.488157587    0.696393    0.431307338755355    -0.0845524847652246
1700020D05Rik    1700020D05Rik    1.88    1.56    0.735689419    0.305892689    0.149087    -0.269029311545286    -1.26332224410068
1700020D14Rik    1700020D14Rik    0    0    0.021242    0.019132565    0.986754    0    -0.143755529703444
1700020G17Rik    1700020G17Rik    2.18    1.47    0.242888651    0.176862662    0.418442    -0.568192523385921    -0.45545894283459
1700020L24Rik    1700020L24Rik    2.06    2.05    0.817241319    0.487684872    0.49332    -0.0070170130594045    -0.743621946901841
1700020M21Rik    1700020M21Rik    3.14    4.69    0.207932625    0.116023289    0.336304    0.578671557844017    -0.836242116475046
1700020N01Rik    1700020N01Rik    1.94    0.98    0.205783755    0.074521606    0.754751    -0.984475076494425    -1.45316150182632
1700020N15Rik    1700020N15Rik    0.7    0.29    0    0.236711668    0.129221    -1.26839529110234    7.89306890901048
1700020N18Rik    1700020N18Rik    7.26    7.72    0.184468998    0.04423067    0.442024    0.0886194601252606    -2.0358047820357
1700021F02Rik    1700021F02Rik    1.2    0.98    0.247209726    0.118126814    0.682561    -0.291911109486395    -1.05906146511268
1700021F05Rik    1700021F05Rik    39.63    66.41    21.68936207    23.97799833    0.815583    0.744792851501446    0.144717258953817
1700021F07Rik    1700021F07Rik    2.72    0.78    0.131632861    0.058597265    0.8189    -1.8007425031077    -1.15412023051049
1700021N21Rik    1700021N21Rik    3.77    5.66    0.296684279    0.114101249    0.819361    0.586109773179938    -1.37087954474697
1700022A21Rik    1700022A21Rik    2.56    1.07    0.291467909    0.33986762    0.57065    -1.25774877284721    0.220933226346172
1700022A22Rik    1700022A22Rik    2.97    0.29    0.082931221    0.107367688    0.530631    -3.35185754692713    0.368655178481547
1700022E09Rik    1700022E09Rik    2.58    2.73    0.352251441    0.136103322    0.745516    0.0814991726713166    -1.36543191778161
1700022H01Rik    1700022H01Rik    56.23    107.63    0.444419094    0.203096648    0.268684    0.936656055574553    -1.12591091584021
1700022H16Rik    1700022H16Rik    8.44    9.67    0.21076769    0.21534535    0.986928    0.196251150619055    0.0308536226260618
1700022I11Rik    1700022I11Rik    1.47    2.25    0.419112909    0.473336314    0.868803    0.613768810199326    0.175133204913194
1700023C21Rik    1700023C21Rik    15.59    22.95    0.04248828    0.103437298    0.135327    0.557843549958975    1.2639384826886
1700023D09Rik    1700023D09Rik    30.33    48.34    2.083053755    1.421962367    0.317064    0.672454253761178    -0.550494982722737
1700023F02Rik    1700023F02Rik    2.25    1.17    0.145399366    0    0.117614    -0.942824980952941    -7.19376549564643
1700023F06Rik    1700023F06Rik    1.49    1.07    0.272712374    0.186685825    0.568385    -0.477321777533186    -0.544340963068073
1700024B18Rik    1700024B18Rik    1.16    0.78    0    0.093622379    0.116938    -0.571973518723587    6.56410952849488
1700024F13Rik    1700024F13Rik    0.93    0.39    0.257682308    0.25561129    0.933777    -1.25161256025144    -0.0115967421202137
1700024G13Rik    1700024G13Rik    2.74    0.49    0.210546567    0.126363605    0.875551    -2.48090739851108    -0.732022196925715
1700024I08Rik    1700024I08Rik    2.08    2.64    0.242733151    0.127163419    0.14183    0.343807336431758    -0.927317950441988
1700024N05Rik    1700024N05Rik    1.66    1.61    7.14e-16    0.015325678    0.373901    -0.0440955792558072    4.02907100254939
1700024P04Rik    1700024P04Rik    1.69    0.59    0.358748084    0.032369902    0.0509149    -1.51664662423245    -3.43036764850184
1700025B11Rik    1700025B11Rik    2.1    0.98    0.475830931    0.256511272    0.820111    -1.09875112045381    -0.888842238830299
1700025C18Rik    1700025C18Rik    2.56    1.95    0.094176206    0.152716814    0.554524    -0.392493474988442    0.691602129170031
1700025F22Rik    1700025F22Rik    1.55    1.27    0.140399432    0.020177347    0.385959    -0.287234656031132    -2.73918255326209
1700025F24Rik    1700025F24Rik    2.21    0.78    0.094381025    0.045007863    0.763215    -1.50130457167425    -1.05182183969512
1700025G04Rik    1700025G04Rik    37.8    62.41    4.338479739    4.599344083    0.586573    0.723375927438223    0.0842196835922384
1700025J12Rik    1700025J12Rik    1.2    1.07    0.185658376    0.142690554    0.373371    -0.165277670955378    -0.377435024436941
1700025K24Rik    1700025K24Rik    1.4    0.59    0.405942622    0.263781745    0.560666    -1.24522692025329    -0.620021731034686
1700025M24Rik    1700025M24Rik    2.41    2.83    0.189357861    0.119219998    0.41109    0.231680098303221    -0.663037247355369
1700025N23Rik    1700025N23Rik    4.87    6.25    10.72176909    8.584719477    0.596033    0.359869019338379    -0.320666579950671
1700026D11Rik    1700026D11Rik    2.39    2.73    0.450407153    0.332395385    0.864911    0.191815184053658    -0.437195145596403
1700026F02Rik    1700026F02Rik    0.87    0.78    0.177458065    0.052829411    0.888346    -0.157350170456885    -1.72911855750478
1700026J14Rik    1700026J14Rik    14.95    25.2    0.211805543    0.07088153    0.783032    0.753238999855941    -1.56584270748843
1700027A15Rik    1700027A15Rik    3.6    2.49    0.029959557    0.04928186    0.54577    -0.531672577949444    0.699653190037549
1700027F06Rik    1700027F06Rik    2.14    1.71    0.12591015    0.093203162    0.937043    -0.323445035896096    -0.42996006652243
1700027F09Rik    1700027F09Rik    1.92    1.56    0.286547254    0.142622689    0.727985    -0.299386981687618    -1.00151538145745
1700027H10Rik    1700027H10Rik    1.47    0.59    0.27902254    0.003380364    0.225022    -1.3155672110773    -5.99834838917241
1700027I24Rik    1700027I24Rik    1.57    0.78    0.072072946    0.054878827    0.579513    -1.00828872715222    -0.387035635807057
1700027J07Rik    1700027J07Rik    3.3    2.54    0.18929346    0.120840312    0.674333    -0.377506763169181    -0.643234438670121
1700028B04Rik    1700028B04Rik    2.14    0.88    0.337751766    0.370464562    0.429964    -1.2810708714651    0.132996115505173
1700028D13Rik    1700028D13Rik    2.18    2.25    0.186287406    0.110925735    0.878391    0.0455762868134051    -0.742712097664683
1700028E10Rik    1700028E10Rik    90.22    194.16    0.388608696    0.243232462    0.233124    1.1057182620893    -0.673770910538357
1700028I16Rik    1700028I16Rik    12.95    28.71    0.191655811    0.15819894    0.549885    1.14854008164778    -0.275194972120435
1700028J19Rik    1700028J19Rik    1.83    2.05    0.705080045    1.210463544    0.266883    0.163695700682515    0.778847341617058
1700028K03Rik    1700028K03Rik    2.43    0.78    0.478245862    0.336688947    0.0983723    -1.63815543988675    -0.50507101631613
1700028M03Rik    1700028M03Rik    1.88    1.37    0.400848227    0.054409781    0.458012    -0.456271277743969    -2.85843814648151
1700028P14Rik    1700028P14Rik    3.81    2.34    0.07749974    0.029336132    0.484305    -0.703044673700156    -1.37165072875857
1700028P15Rik    1700028P15Rik    2.6    0.49    0.156495781    0.072143767    0.843518    -2.4052714696283    -1.10650634779439
1700029B22Rik    1700029B22Rik    1.63    0.19    0.221285924    0.110707465    0.185131    -3.09411223867614    -0.992690995197588
1700029F12Rik    1700029F12Rik    2.21    0.95    0.485135331    0.3753521    0.420773    -1.21718177895566    -0.369274967549747
1700029H14Rik    1700029H14Rik    4.12    7.32    0.915517681    0.564031204    0.537617    0.829046260916195    -0.697832169834663
1700029I15Rik    1700029I15Rik    3.53    1.95    2.152007538    1.21454872    0.20831    -0.855863043150574    -0.824745651903274
1700029J03Rik    1700029J03Rik    2.87    3.91    0.17051887    0.050997553    0.900208    0.445984205525763    -1.72185166931176
1700029J07Rik    1700029J07Rik    45.19    95.91    3.240601578    1.977830657    0.10311    1.08566080518591    -0.712058625840144
1700029M20Rik    1700029M20Rik    1.26    2.05    0.229486643    0.217179654    0.878271    0.701759216151632    -0.0791665753473318
1700029N11Rik    1700029N11Rik    1.34    2.05    0.06055548    0.220632031    0.128722    0.613018254575378    1.84820719553827
1700029P11Rik    1700029P11Rik    1.03    1.47    0.812233743    0.391432145    0.232352    0.512752913886722    -1.05122685647487
